time="2020-04-29 14:16:03" level=info msg="| 200 |      1.0094ms |             ::1 | GET | /api/auth/captcha?v=0.08591529455324332 |"
time="2020-04-29 14:16:04" level=info msg="| 200 |      1.0329ms |             ::1 | GET | /api/auth/captcha?v=0.5789618447407721 |"
time="2020-04-29 14:16:04" level=info msg="| 200 |      1.0312ms |             ::1 | GET | /api/auth/captcha?v=0.8921750065301848 |"
time="2020-04-29 14:16:06" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.8485033108826796 |"
time="2020-04-29 14:16:07" level=info msg="| 200 |      1.0002ms |             ::1 | GET | /api/auth/captcha?v=0.17185641390961703 |"
time="2020-04-29 14:16:11" level=info msg="| 200 |      1.0183ms |             ::1 | GET | /api/auth/captcha?v=0.6974167676557235 |"
time="2020-04-29 14:16:24" level=info msg="| 200 |       998.7µs |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:16:31" level=info msg="| 200 |      2.0239ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:16:31" level=info msg="| 200 |      2.9654ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:16:32" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.44613944105266756 |"
time="2020-04-29 14:16:36" level=info msg="| 200 |       992.2µs |             ::1 | GET | /api/auth/captcha?v=0.5729020670761713 |"
time="2020-04-29 14:16:36" level=info msg="| 200 |       999.1µs |             ::1 | GET | /api/auth/captcha?v=0.1013797790879225 |"
time="2020-04-29 14:16:58" level=info msg="| 200 |     78.9966ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:26:55" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:26:55" level=info msg="| 200 |      4.0032ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:26:56" level=info msg="| 200 |       998.1µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:26:56" level=info msg="| 200 |      1.9947ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:27:56" level=info msg="| 200 |      1.0055ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:27:56" level=info msg="| 200 |     16.0952ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:27:56" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2020-04-29 14:27:58" level=info msg="| 200 |     10.8705ms |             ::1 | GET | /api/auth/captcha?v=0.015884117983636203 |"
time="2020-04-29 14:28:00" level=info msg="| 200 |      9.9224ms |             ::1 | GET | /api/auth/captcha?v=0.02657114147043127 |"
time="2020-04-29 14:28:04" level=info msg="| 200 |      1.9998ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:28:04" level=info msg="| 200 |       999.9µs |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:28:19" level=info msg="| 200 |       952.6µs |             ::1 | GET | /api/auth/captcha?v=0.2829788214657729 |"
time="2020-04-29 14:28:21" level=info msg="| 200 |       998.6µs |             ::1 | GET | /api/auth/captcha?v=0.7442439824968585 |"
time="2020-04-29 14:28:22" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.1118351120217671 |"
time="2020-04-29 14:28:23" level=info msg="| 200 |      1.0302ms |             ::1 | GET | /api/auth/captcha?v=0.5943448813656198 |"
time="2020-04-29 14:28:24" level=info msg="| 200 |      1.0019ms |             ::1 | GET | /api/auth/captcha?v=0.43886875587887286 |"
time="2020-04-29 14:28:29" level=info msg="| 200 |       999.7µs |             ::1 | GET | /api/auth/captcha?v=0.644801841516278 |"
time="2020-04-29 14:28:30" level=info msg="| 200 |      8.2642ms |             ::1 | GET | /api/auth/captcha?v=0.23783031246162256 |"
time="2020-04-29 14:28:31" level=info msg="| 200 |      3.2353ms |             ::1 | GET | /api/auth/captcha?v=0.2022917980284824 |"
time="2020-04-29 14:28:41" level=info msg="| 200 |     79.9997ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:28:44" level=info msg="| 200 |      2.7471ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:28:45" level=info msg="| 200 |      6.8575ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:28:45" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2020-04-29 14:35:54" level=info msg="| 200 |       999.6µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:35:54" level=info msg="| 200 |     19.9968ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:36:01" level=info msg="| 200 |      2.0052ms |             ::1 | GET | /api/auth/login |"
time="2020-04-29 14:36:02" level=info msg="| 200 |      1.0107ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:36:03" level=info msg="| 200 |      1.0327ms |             ::1 | GET | /api/auth/captcha?v=0.7918699093618546 |"
time="2020-04-29 14:36:04" level=info msg="| 200 |      1.0363ms |             ::1 | GET | /api/auth/captcha?v=0.2397620378225196 |"
time="2020-04-29 14:36:04" level=info msg="| 200 |           1ms |             ::1 | GET | /api/auth/captcha?v=0.33186908212487753 |"
time="2020-04-29 15:09:24" level=info msg="| 200 |       996.7µs |             ::1 | GET | /api/auth/login |"
time="2020-04-29 15:09:24" level=info msg="| 200 |      3.9969ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 15:09:35" level=info msg="| 200 |      1.0018ms |             ::1 | GET | /api/auth/captcha?v=0.21679831212074285 |"
time="2020-04-29 15:09:36" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.6399626734044637 |"
time="2020-04-29 15:09:40" level=error msg="用户数据绑定错误error" name=PostLogin
time="2020-04-29 15:09:40" level=info msg="| 400 |      3.0011ms |             ::1 | POST | /api/auth/login |"
time="2020-04-29 15:19:53" level=info msg="| 200 |      3.0349ms |             ::1 | GET | /api/auth/login |"
time="2020-04-29 15:19:53" level=info msg="| 200 |      10.001ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 15:19:59" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.9456537127191946 |"
time="2020-04-29 15:20:00" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.8133800591235074 |"
time="2020-04-29 15:20:01" level=info msg="| 200 |       991.7µs |             ::1 | GET | /api/auth/captcha?v=0.2539610132452561 |"
time="2020-04-29 15:20:06" level=info msg="| 200 |       999.9µs |             ::1 | POST | /api/auth/login |"
time="2020-04-29 15:20:12" level=info msg="| 200 |      1.0111ms |             ::1 | GET | /api/auth/login |"
time="2020-04-29 15:20:12" level=info msg="| 200 |      3.0109ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 15:20:12" level=info msg="| 200 |      2.0228ms |             ::1 | GET | /api/auth/login |"
time="2020-04-29 15:20:12" level=info msg="| 200 |      5.9952ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 15:20:17" level=info msg="| 200 |      1.0335ms |             ::1 | GET | /api/auth/captcha?v=0.6995603259803582 |"
